track_id,track_name,artist,artist_id,album,genre
6VZrCewORfInUHln8rP6Xh,Acid House,Yuzo Iwata,4li9Ey60Tu9HscNHnUoiiI,Come Together,acid house
6EJUueTfy21yVTW98aggna,ACID HOUSE,DONT BLINK,1AD6JUzgEvTAI8TLGwlrba,ACID HOUSE,acid house
27hpBolhNCxlWSflcUBk7J,Acid House,Ivan Kay,0oWSwCX8NDcVqqsyFZjfG5,Acid House,acid house
4jzxeZyncG40qnErTR8upV,Acid House,VELDA,4qJI9uNSis7Qi4J1q1Eufn,Acid House / 137 Acid Love,acid house
07Pfum8uHAM0tBN2Tmz6PP,Acid House,MODERN CLVB,0D0qgGtzD5RkVMMIexYN7I,Acid House,acid house
4K08WLcYyPsiAOVhtvk7ma,Acid House,Brian Bennett,0WP1sO0RYZHeJyd8PLSRBp,Drumtrax,acid house
21UFF45L5I54cGmNQ2pDL2,Acid House,Flunk,1Tz1kM5vFyBpzD22fHW609,Take Me Places,acid house
4FqOcv02aePa6qMTPvlpPo,Acid House,TAI,5VOokbPJRb3e8tJYMxxsMQ,Acid House,acid house
3dZ4BroQaW5OkhLDNHRL0N,Acid House,Allen & Healey,2pvyBeE41OxfyXmNY9lDd9,Scream and Shout,acid house
32OAjTZGLK3gNg8IiIf8fZ,Acid House,Gal Shimol,0Hoqud38LIrt7C0Ak7ZybC,Acid House,acid house
3aOnxYekCewIaVO3TNRK4e,Do It! (feat. 이윤정 Lee YoonJung),House Rulez,10otRXsgnJi3lweFUoRSSS,Mojito,acid house
69pxHDxnNA2K1YuBlT52Sc,Acid House,Flunk,1Tz1kM5vFyBpzD22fHW609,Acid House,acid house
1qLqvAXZn7UH60Yd2Xmm9G,Танцуйте,ATL,2n6CVwo43YvjiTgcPxYWrf,Лимб,acid house
1uAevB2x7joMFORFCtsvrW,Acid House,T.C. Crew,7fU4yHkuJo3AX3BTi2CZph,"Reclaim the Underground, Vol. 1",acid house
50pLWYaYZ6tT7WAFJTH86T,Марабу,ATL,2n6CVwo43YvjiTgcPxYWrf,Марабу,acid house
06iR09uUfFS3kVEAJHJyeB,Rose,Peggy Gou,2mLA48B366zkELXYx7hcDN,Seek For Maktoop,acid house
4ovKyYJoftaVcXQxihY00b,ЧУВСТВА,Aarne,5B5qmrbTFvA7TAxWruuwbo,WE LIVE ONLY ONCE,acid house
2IVa68bEp45AKabdmyKa4G,Acid Test (2024 Remix),Glen Check,68ZtcdthScW8ISOvVNW9sV,Electronic Live System 2024,acid house
3OrcEhLzxv1YX597jGjEI7,Move Your Body,Marshall Jefferson,2Di8r9df6xjyj6CVOqbGVz,Move Your Body,acid house
5HTwniqm9szfs9Cib1p1cF,Acidjazzacid,Milan93,5FPtZ4IXvHYp8MsjAevEWg,Acidjazzacid,acid house
4dImmVCjb3sdGYTWvwioGK,ACID RAIN,HYPNOSIS THERAPY,6JwAbXBmKAP4lIett8KUiP,PSILOCYBIN,acid house
7FVvHGA46aU7mkwx4iHMRE,Little Fluffy Clouds,The Orb,5HAtRoEPUvGSA7ziTGB1cF,Adventures Beyond The Ultraworld,acid house
0DwAc0Z8Td3jv5frUznqu1,The Whistle Song,Frankie Knuckles,63yl9nDNrHpiAYGlNJxxjc,Beyond The Mix,acid house
7FN2LnfKKcIzYLjlIZd0EW,In The Mix - Fast Eddie Mix,Mixmasters,4ccqZWdI5OZP6twQ3c8GV9,In The Mix,acid house
5sJiLlgQKBL81QCTOkoLB5,Good Life,Inner City,0vUJ3QLN3MlRfjOc2LjGWp,Paradise,acid house
63UD9AoNO8l04m0aAHoiaX,Acid Jazz,Herr Krank,6867qRW4fPy1KtxyeBIKkl,So What?,acid jazz
2eOayfLgDDCpJWCJzT7wmQ,Acid Jazz,Pirate Copy,4FNYnqg9OnihmqNqAr0XsN,Acid Jazz,acid jazz
5Vu630Hm2dqrYCZhWYX7CC,Acidjazzed Evening,"RADIATION, INC.",1Iofunyt8g3g30haWNy147,INTERNET ANGEL,acid jazz
6tVaapWOaAeiiqKMfCx5fs,Acid Jazz,Jack Lee,12ZVNsCxj4KCcXvUmrHbIW,Gracefulee,acid jazz
5iHsOfiDWfgU6xiaY9ViOF,Acid Jazz,Blacke Smith,103rQGJuUUUlHLUHjmaO2p,Acid Jazz,acid jazz
1eocox6VVbE63Ccx3Pudda,Acid Jazz,Nick Hatcher,72ZrhyMAwcnN9KlTYvbm9Q,Family,acid jazz
5suUdvAte7KpLwf5naHZTj,Acid Jazz,North 90,4Q400L5WlDiO4CR5pCJXeY,Dancer,acid jazz
0w72NvRNifbMyHoke7VrMV,Acid Jazz,Tony Pastrana,03zn3VlKsnOcUgfreC2ED4,New York Latin Jazz,acid jazz
6kL0CcL4rx6VUt6m2zP0tM,Habbit (Bye Bye),Rollercoaster,6znlp6eyARykI2zjw8HSxM,Roller Coaster,acid jazz
1X2jold6Sv5qLI5CLa8Qub,Acid Jazz,Acid Jazz DJ,69cJwb7qpxE13xHvRgR5R6,Acid Jazz,acid jazz
24SUWisv2lYQiB3bVpE1sn,Virtual Insanity,Jamiroquai,6J7biCazzYhU3gM9j1wfid,Pop Music: The Modern Era 1976-1999,acid jazz
47oS7xB31QQUyPCgHpM3VZ,Canned Heat,Jamiroquai,6J7biCazzYhU3gM9j1wfid,Synkronized,acid jazz
6C6I0OGQkCvUUCP9nyMMMe,Acid Jazz,Soft Jazz,7LYx2cb2fOUzT3R0tRnpZR,Soft Jazz Music,acid jazz
5J7imVb41hWNGHghIb0kcH,I can't hide it,Rollercoaster,6znlp6eyARykI2zjw8HSxM,Triangle,acid jazz
4UQDZlZhGUDoYMohwrY28v,Virtual Insanity - Remastered 2006,Jamiroquai,6J7biCazzYhU3gM9j1wfid,Driving Songs,acid jazz
4ZFMvEYELPUCMKJ9by46fL,Acid Punk,IDIOTAPE,0OmQCkk1rR3DJ0Y2NRxp6Z,Acid Punk,acid jazz
2bwxqGKS5GPXfNanAIRe2p,Seven Days in Sunny June,Jamiroquai,6J7biCazzYhU3gM9j1wfid,Dynamite,acid jazz
4euxFlxLWVGmZZLyYARTyE,Spanish Joint,D'Angelo,336vr2M3Va0FjyvB55lJEd,Voodoo,acid jazz
1zxkwOcRr01vizAYlofhIy,Acid Test,Glen Check,68ZtcdthScW8ISOvVNW9sV,Bleach,acid jazz
6y0Etr2KJr0sdcEp7ajoUK,Cosmic Girl - Remastered 2013,Jamiroquai,6J7biCazzYhU3gM9j1wfid,Travelling Without Moving (Remastered),acid jazz
2zQR6bGQI7qYwyTBOhnRvn,Acidic Body,JUNGWOO,3tvnuk98r2VOv9ygTK8cjs,The Embers,acid jazz
